"table","variable","label","class","n_missing","pct_missing","n_unique"
"DR1TOT_L","DRD350JQ","# of times other unknown shellfish eaten","numeric",8845,99.8,5
"DR1TOT_L","DRD350K","Refused on shellfish eaten past 30 days","numeric",5829,65.8,2
"DR1TOT_L","DRD360","Fish eaten during past 30 days","numeric",2165,24.4,5
"DR1TOT_L","DRD370A","Breaded fish products eaten past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370AQ","# of times breaded fish products eaten","numeric",8232,92.9,13
"DR1TOT_L","DRD370B","Tuna eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370BQ","# of times tuna eaten in past 30 days","numeric",6996,79,20
"DR1TOT_L","DRD370C","Bass eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370CQ","# of times bass eaten in past 30 days","numeric",8800,99.3,7
"DR1TOT_L","DRD370D","Catfish eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370DQ","# of times catfish eaten in past 30 days","numeric",8513,96.1,12
"DR1TOT_L","DRD370E","Cod eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370EQ","# of times cod eaten in past 30 days","numeric",8159,92.1,14
"DR1TOT_L","DRD370F","Flatfish eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370FQ","# of times flatfish eaten past 30 days","numeric",8726,98.5,10
"DR1TOT_L","DRD370G","Haddock eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370GQ","# of times haddock eaten in past 30 days","numeric",8637,97.5,9
"DR1TOT_L","DRD370H","Mackerel eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370HQ","# of times mackerel eaten past 30 days","numeric",8775,99,8
"DR1TOT_L","DRD370I","Perch eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370IQ","# of times perch eaten in past 30 days","numeric",8784,99.1,6
"DR1TOT_L","DRD370J","Pike eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370JQ","# of times pike eaten in past 30 days","numeric",8848,99.9,5
"DR1TOT_L","DRD370K","Pollock eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370KQ","# of times pollock eaten in past 30 days","numeric",8688,98.1,11
"DR1TOT_L","DRD370L","Porgy eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370LQ","# of times porgy eaten in past 30 days","numeric",8842,99.8,6
"DR1TOT_L","DRD370M","Salmon eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370MQ","# of times salmon eaten in past 30 days","numeric",6823,77,18
"DR1TOT_L","DRD370N","Sardines eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370NQ","# of times sardines eaten past 30 days","numeric",8647,97.6,15
"DR1TOT_L","DRD370O","Sea bass eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370OQ","# of times sea bass eaten past 30 days","numeric",8777,99.1,6
"DR1TOT_L","DRD370P","Shark eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370PQ","# of times shark eaten in past 30 days","numeric",8856,100,4
"DR1TOT_L","DRD370Q","Swordfish eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370QQ","# of times swordfish eaten past 30 days","numeric",8815,99.5,4
"DR1TOT_L","DRD370R","Trout eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370RQ","# of times trout eaten in past 30 days","numeric",8707,98.3,10
"DR1TOT_L","DRD370S","Walleye eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370SQ","# of times walleye eaten in past 30 days","numeric",8764,98.9,6
"DR1TOT_L","DRD370T","Other fish eaten during past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370TQ","# of times other fish eaten past 30 days","numeric",7878,88.9,20
"DR1TOT_L","DRD370U","Other unknown fish eaten in past 30 days","numeric",4685,52.9,3
"DR1TOT_L","DRD370UQ","# of times other unknown fish eaten","numeric",8736,98.6,7
"DR1TOT_L","DRD370V","Refused on fish eaten past 30 days","numeric",4687,52.9,3
"HDL_L","SEQN","Respondent Sequence Number","numeric",0,0,8068
"HDL_L","WTPH2YR","Phlebotomy 2 Year Weight","numeric",0,0,7138
"HDL_L","LBDHDD","Direct HDL-Cholesterol (mg/dL)","numeric",1178,14.6,103
"HDL_L","LBDHDDSI","Direct HDL-Cholesterol (mmol/L)","numeric",1178,14.6,103
"LUX_L","SEQN","Respondent sequence number","numeric",0,0,7199
"LUX_L","LUAXSTAT","Elastography exam status","numeric",0,0,4
"LUX_L","LUARXNC","Reason for partial exam","numeric",6685,92.9,4
"LUX_L","LUARXND","Reason exam not done","numeric",6995,97.2,4
"LUX_L","LUARXIN","Reason ineligible","numeric",6998,97.2,3
"LUX_L","LUAPNME","Exam wand type","character",0,0,3
"LUX_L","LUANMVGP","Count:complete measures from final wand","numeric",467,6.5,23
"LUX_L","LUANMTGP","Count:measures attempted with final wand","numeric",0,0,21
"LUX_L","LUXSMED","Median stiffness (E), kilopascals (kPa)","numeric",499,6.9,273
"LUX_L","LUXSIQR","Stiffness E interquartile range (IQRe)","numeric",512,7.1,146
"LUX_L","LUXSIQRM","Ratio: Stiffness IQRe / median E","numeric",512,7.1,439
"LUX_L","LUXCAPM","Median CAP, decibels per meter (dB/m)","numeric",500,6.9,294
"LUX_L","LUXCPIQR","CAP interquartile range (IQRc)","numeric",513,7.1,149
"TRIGLY_L","SEQN","Respondent sequence number","numeric",0,0,3996
"TRIGLY_L","WTSAF2YR","Fasting Subsample 2 Year MEC Weight","numeric",0,0,3315
"TRIGLY_L","LBXTLG","Triglyceride (mg/dL)","numeric",479,12,339
"TRIGLY_L","LBDTRSI","Triglyceride (mmol/L)","numeric",479,12,339
"TRIGLY_L","LBDLDL","LDL-Cholesterol, Friedewald (mg/dL)","numeric",516,12.9,205
"TRIGLY_L","LBDLDLSI","LDL-Cholesterol, Friedewald (mmol/L)","numeric",516,12.9,205
"TRIGLY_L","LBDLDLM","LDL-Cholesterol, Martin-Hopkins (mg/dL)","numeric",516,12.9,200
"TRIGLY_L","LBDLDMSI","LDL-Cholesterol, Martin-Hopkins (mmol/L)","numeric",516,12.9,200
"TRIGLY_L","LBDLDLN","LDL-Cholesterol, NIH equation 2 (mg/dL)","numeric",483,12.1,206
"TRIGLY_L","LBDLDNSI","LDL-Cholesterol, NIH equation 2 (mmol/L)","numeric",483,12.1,206
